acceptingOrders,acceptingOrdersTimestamp,active,approved,archived,automaticallyActive,bestAsk,bestBid,clearBookOnStart,clobRewards,clobTokenIds,closed,competitive,conditionId,createdAt,customLiveness,cyom,deploying,deployingTimestamp,description,enableOrderBook,endDate,endDateIso,eventStartTime,event_slug,event_tags,event_title,featured,feesEnabled,funded,groupItemThreshold,groupItemTitle,hasReviewedDates,holdingRewardsEnabled,icon,id,image,lastTradePrice,liquidity,liquidityClob,liquidityNum,manualActivation,marketMakerAddress,negRisk,negRiskMarketID,negRiskOther,negRiskRequestID,new,oneDayPriceChange,oneHourPriceChange,oneMonthPriceChange,oneWeekPriceChange,orderMinSize,orderPriceMinTickSize,outcomePrices,outcomes,pagerDutyNotificationEnabled,pendingDeployment,question,questionID,ready,requiresTranslation,resolutionSource,resolvedBy,restricted,rewardsMaxSpread,rewardsMinSize,rfqEnabled,seriesColor,showGmpOutcome,showGmpSeries,slug,spread,startDate,startDateIso,submitted_by,umaBond,umaResolutionStatuses,umaReward,updatedAt,volume,volume1mo,volume1moClob,volume1wk,volume1wkClob,volume1yr,volume1yrClob,volume24hr,volume24hrClob,volumeClob,volumeNum,polymarket_url
True,2025-12-04T21:45:43Z,True,True,False,True,0.23,0.21,True,,"[""111128191581505463501777127559667396812474366956707382672202929745167742497287"", ""99807503632459517030616292055983105381849115736225256331133222076990620978808""]",False,0.927299703264095,0x8213d395e079614d6c4d7f4cbb9be9337ab51648a21cc2a334ae8f1966d164b4,2025-12-04T21:44:44.687695Z,0,False,False,2025-12-04T21:45:16.32097Z,"This market will resolve to ""Yes"" if MicroStrategy sells any of its Bitcoin by 11:59 PM ET on the date specified in the title. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be information from MSTR and on-chain data, however a consensus of credible reporting will also be used.",True,2026-07-01T04:00:00Z,2026-07-01,,microstrategy-sell-any-bitcoin-in-2025,"['Finance', 'Economy', 'Business', '2025 Predictions', 'Crypto', 'MicroStrategy', 'Stocks']",MicroStrategy sells any Bitcoin by ___ ?,False,False,False,3,"December 31, 2026",True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-microstrategy-purchase-bitcoin-july-1-7-mzoE5TYk_cCI.jpg,824952,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-microstrategy-purchase-bitcoin-july-1-7-mzoE5TYk_cCI.jpg,0.23,23834.0642,23834.0642,23834.0642,False,,False,,False,,False,-0.06,-0.005,,-0.1,5,0.01,"[""0.22"", ""0.78""]","[""Yes"", ""No""]",False,False,"MicroStrategy sells any Bitcoin by December 31, 2026?",0xf4a4fa5d00e59367d1d6ed77d4a8e9a27c1486f757c69ad60ae47792f448cd2e,False,False,,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,0,0,False,,,,microstrategy-sells-any-bitcoin-by-december-31-2026,0.02,2025-12-04T21:46:05.703374Z,2025-12-04,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:02:32.781952Z,42726.144883,42349.08748800001,42349.08748800001,20202.620335999993,20202.620335999993,42349.08748800001,42349.08748800001,3245.076672,3245.076672,42726.144883,42726.144883,https://polymarket.com/event/microstrategy-sell-any-bitcoin-in-2025
True,2025-11-19T22:51:09Z,True,True,False,True,0.09,0.08,True,"[{'id': '44795', 'conditionId': '0x8e7a03cb1970e2ad6533b01892403516b6b3f5b5fa90ed7d104c28b27e40ba00', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2025-11-22', 'endDate': '2500-12-31'}]","[""110251828161543119357013227499774714771527179764174739487025581227481937033858"", ""65176388692130651396848427090788038285140833850265294793449655516920659740141""]",False,0.8530785472072341,0x8e7a03cb1970e2ad6533b01892403516b6b3f5b5fa90ed7d104c28b27e40ba00,2025-11-19T22:50:03.261894Z,0,False,False,2025-11-19T22:50:27.08229Z,"This market will resolve to ""Yes"" if MicroStrategy sells any of its Bitcoin by 11:59 PM ET on the date specified in the title. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be information from MSTR and on-chain data, however a consensus of credible reporting will also be used.",True,2026-07-01T04:00:00Z,2026-07-01,,microstrategy-sell-any-bitcoin-in-2025,"['Finance', 'Economy', 'Business', '2025 Predictions', 'Crypto', 'MicroStrategy', 'Stocks']",MicroStrategy sells any Bitcoin by ___ ?,False,False,False,2,"June 30, 2026",True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-microstrategy-purchase-bitcoin-july-1-7-mzoE5TYk_cCI.jpg,692258,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-microstrategy-purchase-bitcoin-july-1-7-mzoE5TYk_cCI.jpg,0.09,58933.1438,58933.1438,58933.1438,False,,False,,False,,False,-0.01,,-0.12,-0.06,5,0.01,"[""0.085"", ""0.915""]","[""Yes"", ""No""]",False,False,"MicroStrategy sells any Bitcoin by June 30, 2026?",0x83f73856c2c2982dd3f3aba8a7d1e3f494d1b76919b725dc51aceefa82218162,False,False,,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,4.5,20,False,,False,False,microstrategy-sells-any-bitcoin-by-june-30-2026,0.01,2025-11-19T22:51:30.483Z,2025-11-19,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:02:37.6593Z,163874.149162,134805.56525,134805.56525,22515.836512,22515.836512,162877.164334,162877.164334,6132.139753,6132.139753,163874.149162,163874.149162,https://polymarket.com/event/microstrategy-sell-any-bitcoin-in-2025
True,2025-05-02T15:47:49Z,True,True,False,True,0.49,0.48,True,,"[""105267568073659068217311993901927962476298440625043565106676088842803600775810"", ""91863162118308663069733924043159186005106558783397508844234610341221325526200""]",False,0.9997750506136119,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,2025-05-02T15:24:45.04244Z,0,False,False,2025-05-02T15:47:04.724576Z,"This market will resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTCUSDT) has a final ""High"" price of $1,000,000 or higher before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

The resolution source for Bitcoin is Binance, specifically the BTCUSDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTCUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,2026-07-31T12:00:00Z,2026-07-31,,what-will-happen-before-gta-vi,"['Culture', 'All', 'Politics', 'GTA VI']",What will happen before GTA VI?,False,False,False,7,Bitcoin hits $1m,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/what-will-happen-before-gta-vi-7hpNkEzQEqUE.jpg,540844,https://polymarket-upload.s3.us-east-2.amazonaws.com/what-will-happen-before-gta-vi-7hpNkEzQEqUE.jpg,0.49,246396.782,246396.782,246396.782,False,,False,,False,,False,,,,,5,0.01,"[""0.485"", ""0.515""]","[""Yes"", ""No""]",False,False,Will bitcoin hit $1m before GTA VI?,0x7e4ff7b7fdfe7d1fbc6c0e2a7626ae4fc8d62f3848a5e601d511a51bdfa51f09,False,False,,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,True,3.5,100,False,,False,False,will-bitcoin-hit-1m-before-gta-vi-872,0.01,2025-05-02T15:48:17.361Z,2025-05-02,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:03:14.14259Z,2466917.144539,156739.35541899953,156739.35541899953,35475.503743,35475.503743,2463625.981467023,2463625.981467023,21380.840922999996,21380.840922999996,2466917.144539,2466917.144539,https://polymarket.com/event/what-will-happen-before-gta-vi
True,2025-08-05T14:38:39Z,True,True,False,True,0.839,0.829,True,,"[""46321217963489189592059971462784666798728187359212266717273567726516419208431"", ""4063026341038963817025555413567055151736430923249962548720332650506856241704""]",False,0.8996397842303941,0x5478c62494cb4aeffe77ea23437721eb6d5e50d7b6f668242479e50b09d06979,2025-08-05T14:09:32.636071Z,0,False,False,2025-08-05T14:38:10.8637Z,"This market will resolve to the lower price in the title if Bitcoin’s price dips to that level or below before it hits the higher title price between August 5, 2025 at 10:30 AM ET and December 31, 2026 at 11:59 PM ET. It will resolve to the higher price in the title if Bitcoin’s price first reaches that level or above before it dips to the lower title price during the same period.

If neither price level is reached within the market timeframe, the market will resolve 50–50.

The resolution source for this market is Binance, specifically the BTC/USDT ""High"" and ""Low"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with “1m” and “Candles” selected on the top bar.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.",True,2027-01-01T04:00:00Z,2027-01-01,,will-bitcoin-hit-80k-or-150k-first,"['Crypto', 'Bitcoin', 'Crypto Prices', 'Hit First']",Will Bitcoin hit $80k or $150k first?,False,False,False,0,,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,572403,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,0.83,22235.32496,22235.32496,22235.32496,False,0x7f8e3843636fcFD75b162B8878285FfA41e305d9,False,,False,,False,-0.012,0.002,0.0255,0.003,5,0.001,"[""0.834"", ""0.166""]","[""80k"", ""150k""]",False,False,Will Bitcoin hit $80k or $150k first?,0x5721adb0239ba44457a53acf477e2c20e0de011d6fde5404371550f2edf8c55c,False,False,,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,True,0,0,False,,,,will-bitcoin-hit-80k-or-150k-first,0.01,2025-08-05T14:39:02.682Z,2025-08-05,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:03:21.874472Z,761701.111279,265783.7807010002,265783.7807010002,38219.944441,38219.944441,761483.431563,761483.431563,9658.849732,9658.849732,761701.111279,761701.111279,https://polymarket.com/event/will-bitcoin-hit-80k-or-150k-first
True,2025-08-07T16:29:33Z,True,True,False,True,0.035,0.033,True,,"[""46866868857194367945413771860582064655745092128562966218540356888709464260149"", ""60813700210650265030095330536872262773206509817006423823871227216046493542827""]",False,0.8215873725307192,0xe857d6cd180acdb314dd38e583e625172407fa83d54156c78679e601b312d068,2025-08-07T14:34:07.151904Z,0,False,False,2025-08-07T16:28:24.292859Z,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTC/USDT) has a final ""High"" price equal to or greater than the price specified in the title by 11:59PM ET on the date specified in the title. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTC/USDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTC/USDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,2026-04-01T04:00:00Z,2026-04-01,,when-will-bitcoin-hit-150k,"['Bitcoin', 'Crypto', 'Crypto Prices']",When will Bitcoin hit $150k?,False,False,False,2,"by March 31, 2026",True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,573654,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,0.033,22268.15,22268.15,22268.15,False,0x2d747A1008242fc715cbB421C2C463d5a6E90148,False,,False,,False,-0.0055,0.001,-0.081,-0.016,5,0.001,"[""0.034"", ""0.966""]","[""Yes"", ""No""]",False,False,"Will Bitcoin hit $150k by March 31, 2026?",0x93554ed727df51497fa0589071bea0e4846892233f5f3d2d3fec10e85266b8cb,False,False,,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,True,3.5,50,False,,False,False,will-bitcoin-hit-150k-by-march-31-2026,0.002,2025-08-07T16:29:55.338268Z,2025-08-07,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:01:30.88707Z,115493.675735,62708.72619899998,62708.72619899998,21107.021289999997,21107.021289999997,113534.16387699998,113534.16387699998,13065.438183999999,13065.438183999999,115493.675735,115493.675735,https://polymarket.com/event/when-will-bitcoin-hit-150k
True,2025-08-07T16:29:03Z,True,True,False,True,0.14,0.13,True,,"[""13915689317269078219168496739008737517740566192006337297676041270492637394586"", ""13290642914521189871602119663452054126359842904805799115978921503195267156991""]",False,0.8824372917999515,0xa0f4c4924ea1a8b410b4ce821c2a9955fad21a1b19bdcfde90816732278b3dd5,2025-08-07T14:34:07.611866Z,0,False,False,2025-08-07T16:28:24.287198Z,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTC/USDT) has a final ""High"" price equal to or greater than the price specified in the title by 11:59PM ET on the date specified in the title. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTC/USDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTC/USDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,2026-07-01T04:00:00Z,2026-07-01,,when-will-bitcoin-hit-150k,"['Bitcoin', 'Crypto', 'Crypto Prices']",When will Bitcoin hit $150k?,False,False,False,3,"by June 30, 2026",True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,573655,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,0.14,63690.0643,63690.0643,63690.0643,False,0x4ec7C7136d0A4374041fc5781b9Aa9C4bdd1B6Ea,False,,False,,False,0.01,,-0.095,-0.025,5,0.01,"[""0.135"", ""0.865""]","[""Yes"", ""No""]",False,False,"Will Bitcoin hit $150k by June 30, 2026?",0xdf79d7919c725acfbb39f15b3ed550221f80e2b0b930588fe96533d9ec253b0d,False,False,,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,True,3.5,50,False,,False,False,will-bitcoin-hit-150k-by-june-30-2026,0.01,2025-08-07T16:29:22.979697Z,2025-08-07,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:02:00.690683Z,160907.694632,69828.83807200001,69828.83807200001,11539.970734999999,11539.970734999999,160630.9872190001,160630.9872190001,3295.218596,3295.218596,160907.694632,160907.694632,https://polymarket.com/event/when-will-bitcoin-hit-150k
True,2025-08-07T16:29:13Z,True,True,False,True,0.26,0.25,True,,"[""93694900555669388759405753550770573998169287228984912881955464376232163096213"", ""55119388124180116303253993098894090042427725500010038140578121972388485050538""]",False,0.9433739770288437,0x02deb9538f5c123373adaa4ee6217b01745f1662bc902e46ac92f3fe6f8741e8,2025-08-07T14:34:08.095389Z,0,False,False,2025-08-07T16:28:24.298673Z,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTC/USDT) has a final ""High"" price equal to or greater than the price specified in the title by 11:59PM ET on the date specified in the title. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTC/USDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTC/USDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,2027-01-01T04:00:00Z,2027-01-01,,when-will-bitcoin-hit-150k,"['Bitcoin', 'Crypto', 'Crypto Prices']",When will Bitcoin hit $150k?,False,False,False,4,"by December 31, 2026",True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,573656,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,0.25,24313.2653,24313.2653,24313.2653,False,0x425589857884EB29738051F17b79BDc29d2BFb89,False,,False,,False,-0.005,0.005,-0.095,-0.045,5,0.01,"[""0.255"", ""0.745""]","[""Yes"", ""No""]",False,False,"Will Bitcoin hit $150k by December 31, 2026?",0x5ffb6001758f989dc5a6a9ce6dd78554784e022036e2e7dab37038add592f2a8,False,False,,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,True,3.5,50,False,,False,False,will-bitcoin-hit-150k-by-december-31-2026,0.01,2025-08-07T16:29:32.879609Z,2025-08-07,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:02:29.541122Z,140227.945608,21052.296784000002,21052.296784000002,8288.653,8288.653,139865.098688,139865.098688,3879.042448,3879.042448,140227.945608,140227.945608,https://polymarket.com/event/when-will-bitcoin-hit-150k
True,2025-11-05T16:16:55Z,True,True,False,True,0.24,0.22,True,,"[""115563279943088574368475763566308524191598627607680105838058505260056381768939"", ""30455770425041126193569940063234142577691408508440512817158696601142733755169""]",False,0.9320533134495294,0x953b1439569eef0a0e639566acd35d32ebadee8ab70dbb2f8e00bb936a277aa2,2025-11-04T17:17:20.964153Z,0,False,False,2025-11-05T16:16:25.61961Z,"This market will resolve to ""Yes"" if the US government holds any amount of Bitcoin in its reserves at any point by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Note that the US government confiscating Bitcoin does not count as holding Bitcoin reserves.

The primary resolution source for this market will be official information from the US government and/or the US federal reserve, however a consensus of credible reporting will also be used.",True,2026-12-31T00:00:00Z,2026-12-31,,us-national-bitcoin-reserve-before-2027,"['Crypto', 'Finance', 'Bitcoin', 'Politics']",US national Bitcoin reserve before 2027?,False,False,False,0,,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/us-national-bitcoin-reserve-in-2025-zDcUaQ5HLS7F.jpg,665205,https://polymarket-upload.s3.us-east-2.amazonaws.com/us-national-bitcoin-reserve-in-2025-zDcUaQ5HLS7F.jpg,0.3,10751.1862,10751.1862,10751.1862,False,,False,,False,,False,-0.045,,-0.005,-0.04,5,0.01,"[""0.23"", ""0.77""]","[""Yes"", ""No""]",False,False,US national Bitcoin reserve before 2027?,0xbb00f40dc4d5405e603f61540773e5f158c716c40a6b7fd65bf01cca38da4c3b,False,False,,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,0,0,False,,,,us-national-bitcoin-reserve-before-2027,0.02,2025-11-05T16:17:17.376945Z,2025-11-05,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:01:14.843652Z,3040.800493,1710.67117,1710.67117,823.7040160000001,823.7040160000001,3040.8004929999997,3040.8004929999997,204.160686,204.160686,3040.800493,3040.800493,https://polymarket.com/event/us-national-bitcoin-reserve-before-2027
True,2025-11-05T20:16:33Z,True,True,False,True,0.05,0.04,True,,"[""91810646921497227084241579668235102205462718984593674693010693975258849328842"", ""51080463689161030375818291005097816690283354390568417705958874093502264623871""]",False,0.8284832542822228,0x4bd2d6744cfb40bd33520963069947643140e9facccec0b44d1e61944aa96997,2025-11-04T18:17:00.38195Z,0,False,False,2025-11-05T20:02:27.435829Z,"This market will resolve to ""Yes"" if the government of the People's Republic of China (PRC) explicitly announces that Chinese citizens will be allowed to legally buy Bitcoin with yuan (renminbi) from inside China by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For this market to resolve to ""Yes"" it is only necessary that the PRC announces this change will take place. Whether it actually does will have no bearing on the resolution of this market.

The primary resolution source for this market will be official information from the PRC, however a consensus of credible reporting will also be used.",True,2026-12-31T00:00:00Z,2026-12-31,,will-china-unban-bitcoin-by-2027,"['Politics', 'Crypto', 'Economy', 'China', 'Geopolitics', 'Bitcoin', 'World']",Will China unban Bitcoin by 2027?,False,False,False,0,,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-china-unban-bitcoin-by-march-31-2025-GVssS0pD-aSa.jpg,665258,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-china-unban-bitcoin-by-march-31-2025-GVssS0pD-aSa.jpg,0.05,39405.2088,39405.2088,39405.2088,False,,False,,False,,False,-0.01,,-0.055,,5,0.01,"[""0.045"", ""0.955""]","[""Yes"", ""No""]",False,False,Will China unban Bitcoin by 2027?,0x7f8d282d99cd03ea043498088344dcd24acaae2bdb66f34d08fd56678a687a2b,False,False,,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,3.5,100,False,,,,will-china-unban-bitcoin-by-2027,0.01,2025-11-05T20:16:54.421Z,2025-11-05,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T13:57:06.176086Z,54683.349645,39760.59600199993,39760.59600199993,8153.928223999997,8153.928223999997,54082.84976299994,54082.84976299994,3927.2833620000015,3927.2833620000015,54683.349645,54683.349645,https://polymarket.com/event/will-china-unban-bitcoin-by-2027
True,2025-11-12T22:12:57Z,True,True,False,True,0.13,0.06,True,,"[""86581060953228516881655146344341039341094964812672641643377113087872781363989"", ""47611578116252753535819683700940603000631989644893832039178194237779804773442""]",False,0.8590880780051975,0x0faf76440a116c59fad5d43b5859fcaa7bf17b18e0f1175fb021b2507fc36ed6,2025-11-11T18:37:08.397669Z,0,False,False,2025-11-12T22:12:28.697285Z,"This market will resolve to ""Yes"" if, at any point between November 11, 2025 and December 31, 2026 at 11:59 PM ET, the market capitalization of Bitcoin (BTC) exceeds the market capitalization of the largest publicly traded company in the world. Otherwise, the market will resolve to ""No."" 

Market cap values for both BTC and companies will be taken directly from Google Finance. If Google Finance is unavailable, a consensus of credible financial data providers will be used.",True,2026-12-31T00:00:00Z,2026-12-31,,bitcoin-more-valuable-than-any-company-before-2027,"['Bitcoin', 'Crypto', 'Big Tech', 'Tech']",Bitcoin more valuable than any company before 2027?,False,False,False,0,,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/bitcoin-more-valuable-than-any-company-in-2025-0wrS3FBLZzai.jpg,676844,https://polymarket-upload.s3.us-east-2.amazonaws.com/bitcoin-more-valuable-than-any-company-in-2025-0wrS3FBLZzai.jpg,0.24,2119.991,2119.991,2119.991,False,,False,,False,,False,-0.09,,-0.11,-0.18,5,0.01,"[""0.095"", ""0.905""]","[""Yes"", ""No""]",False,False,Bitcoin more valuable than any company before 2027?,0x9f52ccc0d6de627498e538244e4dd954aeac5a1082d77f28f14522cbf7cae70d,False,False,,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,0,0,False,,,,bitcoin-more-valuable-than-any-company-before-2027,0.07,2025-11-12T22:13:20.039943Z,2025-11-12,0x91430CaD2d3975766499717fA0D66A78D814E5c5,500,[],5,2026-01-02T14:01:14.98131Z,599.131637,364.24525800000004,364.24525800000004,343.22526700000003,343.22526700000003,585.731637,585.731637,200,200,599.131637,599.131637,https://polymarket.com/event/bitcoin-more-valuable-than-any-company-before-2027
